uid,entity
﻿2444634,世联
﻿2444634,世联
2836026,LG
2836026,LG
2809128,四方
2809128,四方
2221860,单元
2221860,单元
2091205,深航
2091205,深航
2346000,ST
2346000,ST
2141925,国润
2141925,国润
2841125,阳泉
2841125,阳泉
2378520,苹果
2378520,苹果
2565436,宏达
2565436,宏达
2483173,金刚
2483173,金刚
2184211,新华
2184211,新华
2163376,武汉
2163376,武汉
2333518,大幅
2333518,大幅
2954706,上市
2954706,上市
2881302,翼虎
2881302,翼虎
2252705,利欧
2252705,利欧
2634516,金正
2634516,金正
2211544,壹桥
2211544,壹桥
2596107,天洋
2596107,天洋
2439917,光洋
2439917,光洋
2183736,三机
2183736,三机
2219720,东方
2219720,东方
2162473,南纺
2162473,南纺
2569621,雏鹰
2569621,雏鹰
2967500,海通
2967500,海通
2036637,深圳
2036637,深圳
2262080,精诚
2262080,精诚
2811398,国海
2811398,国海
2467970,金城
2467970,金城
2639571,云铝
2639571,云铝
2503719,白兔
2503719,白兔
2723859,虹越
2723859,虹越
2507999,九芝
2507999,九芝
2622764,怡安
2622764,怡安
2123016,金宇
2123016,金宇
2563612,欧美
2563612,欧美
2429250,*S
2429250,*S
2995518,来伊
2995518,来伊
2840234,摩根
2840234,摩根
2607660,朗姿
2607660,朗姿
2922388,马应
2922388,马应
2956048,ST
2956048,ST
2992115,生猪
2992115,生猪
2168566,山西
2168566,山西
2763348,长江
2763348,长江
2802202,浙大
2802202,浙大
2112900,梅花
2112900,梅花
2796658,科陆
2796658,科陆
2394078,中科
2394078,中科
2572749,粤电
2572749,粤电
2832524,滨江
2832524,滨江
2018878,受数
2018878,受数
2492193,焦作
2492193,焦作
2474158,美利
2474158,美利
2839047,天和
2839047,天和
2772463,评级
2772463,评级
2494060,江中
2494060,江中
2232649,西南
2232649,西南
2163096,美易
2163096,美易
2748333,杰赛
2748333,杰赛
2245811,天圣
2245811,天圣
2066772,宝莫
2066772,宝莫
2940288,科隆
2940288,科隆
2744746,兰州
2744746,兰州
2674274,利亚
2674274,利亚
2342560,剑桥
2342560,剑桥
2958003,乐视
2958003,乐视
2599641,东芝
2599641,东芝
2267820,陕国
2267820,陕国
2044413,高升
2044413,高升
2342426,农银
2342426,农银
2977476,桂东
2977476,桂东
2045824,冠昊
2045824,冠昊
2854175,卡奴
2854175,卡奴
2754144,海通
2754144,海通
2110564,川金
2110564,川金
2475666,科斯
2475666,科斯
2652722,三大
2652722,三大
2748884,计算
2748884,计算
2352476,宏发
2352476,宏发
2474668,华西
2474668,华西
2171479,康宝
2171479,康宝
2944964,七匹
2944964,七匹
2755596,麦当
2755596,麦当
2801084,百货
2801084,百货
2920511,天华
2920511,天华
2276284,井冈
2276284,井冈
2463833,火狐
2463833,火狐
2922496,中海
2922496,中海
2542677,优博
2542677,优博
2381564,万马
2381564,万马
2314243,温氏
2314243,温氏
2796944,酒鬼
2796944,酒鬼
2924490,文投
2924490,文投
2546636,达美
2546636,达美
2024886,丰田
2024886,丰田
2696243,阿里
2696243,阿里
2059376,新疆
2059376,新疆
2557274,三星
2557274,三星
2160442,因电
2160442,因电
2112036,西安
2112036,西安
2111881,ST
2111881,ST
2610342,松下
2610342,松下
2348927,聚美
2348927,聚美
2153084,广州
2153084,广州
2278230,万科
2278230,万科
2325057,同花
2325057,同花
2424869,连续
2424869,连续
2644797,格林
2644797,格林
2084200,酒鬼
2084200,酒鬼
2444482,恒顺
2444482,恒顺
2342178,绿大
2342178,绿大
2585874,得利
2585874,得利
2438784,西南
2438784,西南
2489751,*S
2489751,*S
2587288,7月
2587288,7月
2471102,时代
2471102,时代
2941456,蓝丰
2941456,蓝丰
2895220,天科
2895220,天科
2871369,*S
2871369,*S
2128847,老虎
2128847,老虎
2951436,高德
2951436,高德
2671887,东阿
2671887,东阿
2336914,今日
2336914,今日
2860699,巨星
2860699,巨星
2603794,个人
2603794,个人
2869358,千金
2869358,千金
2836641,金枫
2836641,金枫
2560511,南京
2560511,南京
2941986,浙报
2941986,浙报
2244969,澳洲
2244969,澳洲
2672290,九鼎
2672290,九鼎
2924583,奥玛
2924583,奥玛
2828875,*S
2828875,*S
2733656,[公
2733656,[公
2550073,晚间
2550073,晚间
2248845,利尔
2248845,利尔
2592182,唯品
2592182,唯品
2697722,兴业
2697722,兴业
2356286,海欣
2356286,海欣
2356456,农行
2356456,农行
2872550,财富
2872550,财富
2807037,创兴
2807037,创兴
2584119,中银
2584119,中银
2366060,奔驰
2366060,奔驰
2237871,美家
2237871,美家
2472468,大康
2472468,大康
2916125,入股
2916125,入股
2996777,七喜
2996777,七喜
2584867,上海
2584867,上海
2906494,京投
2906494,京投
2995860,保利
2995860,保利
2854915,计提
2854915,计提
2819480,太平
2819480,太平
2283252,金安
2283252,金安
2989723,朗玛
2989723,朗玛
2471666,和邦
2471666,和邦
2072924,Fa
2072924,Fa
2323159,国寿
2323159,国寿
2671498,德展
2671498,德展
2154097,全美
2154097,全美
2192850,罗普
2192850,罗普
2841606,傲农
2841606,傲农
2521089,外运
2521089,外运
2602672,宝洁
2602672,宝洁
2058283,延安
2058283,延安
2571992,中核
2571992,中核
2265151,科华
2265151,科华
2738820,倡议
2738820,倡议
2209914,管理
2209914,管理
2415949,大股
2415949,大股
2850820,重组
2850820,重组
2172252,甩卖
2172252,甩卖
2402710,深南
2402710,深南
2210269,湖北
2210269,湖北
2165348,*S
2165348,*S
2589195,春兴
2589195,春兴
2927856,巨龙
2927856,巨龙
2997143,台媒
2997143,台媒
2510066,喀什
2510066,喀什
2529527,高创
2529527,高创
2371428,违规
2371428,违规
2825891,南玻
2825891,南玻
2151914,公开
2151914,公开
2520502,乐视
2520502,乐视
2705396,金磊
2705396,金磊
2930840,通光
2930840,通光
2082258,东方
2082258,东方
2767838,海润
2767838,海润
2136678,IP
2136678,IP
2950708,受计
2950708,受计
2568954,金洲
2568954,金洲
2954751,网宿
2954751,网宿
2753920,浙富
2753920,浙富
2555688,广联
2555688,广联
2996996,恒邦
2996996,恒邦
2900250,星星
2900250,星星
2426048,阳光
2426048,阳光
2633159,普利
2633159,普利
2687262,克州
2687262,克州
2147201,高送
2147201,高送
2499116,万科
2499116,万科
2457820,巨人
2457820,巨人
2385997,正方
2385997,正方
2630685,质疑
2630685,质疑
2564379,ST
2564379,ST
2737412,大有
2737412,大有
2510976,地方
2510976,地方
2042723,大康
2042723,大康
2434098,*S
2434098,*S
2170569,顺威
2170569,顺威
2321035,南钢
2321035,南钢
2157321,所持
2157321,所持
2475084,综艺
2475084,综艺
2022465,海思
2022465,海思
2347263,聚飞
2347263,聚飞
2357806,卧龙
2357806,卧龙
2937046,哈工
2937046,哈工
2123725,九安
2123725,九安
2023504,迪瑞
2023504,迪瑞
2483396,面临
2483396,面临
2279663,湖北
2279663,湖北
2176512,雅路
2176512,雅路
2239691,三元
2239691,三元
2828136,多伦
2828136,多伦
2681496,沈阳
2681496,沈阳
2346317,*S
2346317,*S
2091002,森马
2091002,森马
2920647,万福
2920647,万福
2863955,中小
2863955,中小
2624518,宇顺
2624518,宇顺
2300595,ST
2300595,ST
2627392,智慧
2627392,智慧
2838014,龙生
2838014,龙生
2740334,远方
2740334,远方
2960271,西部
2960271,西部
2796652,利来
2796652,利来
2406631,金龙
2406631,金龙
2688551,露天
2688551,露天
2883007,健康
2883007,健康
2507115,鲍斯
2507115,鲍斯
2113311,山西
2113311,山西
2481708,七匹
2481708,七匹
2269803,摩登
2269803,摩登
2825713,赤峰
2825713,赤峰
2405578,大立
2405578,大立
2604193,晶盛
2604193,晶盛
2202984,捷蓝
2202984,捷蓝
2462631,华谊
2462631,华谊
2857144,兴业
2857144,兴业
2043017,汇金
2043017,汇金
2881972,远方
2881972,远方
2912665,闰土
2912665,闰土
2708838,欧比
2708838,欧比
2204151,步森
2204151,步森
2074686,超图
2074686,超图
2057439,华友
2057439,华友
2632693,华业
2632693,华业
2519861,华友
2519861,华友
2088157,手机
2088157,手机
2639829,三五
2639829,三五
2173265,烟台
2173265,烟台
2822720,万家
2822720,万家
2085154,高管
2085154,高管
2435718,永辉
2435718,永辉
2046410,刚泰
2046410,刚泰
2321881,华闻
2321881,华闻
2057168,银监
2057168,银监
2005200,时代
2005200,时代
2508761,富临
2508761,富临
2473255,爱尔
2473255,爱尔
2276806,永大
2276806,永大
2475145,希努
2475145,希努
2378126,体育
2378126,体育
2034304,誉衡
2034304,誉衡
2620788,提高
2620788,提高
2609344,金马
2609344,金马
2333263,紫鑫
2333263,紫鑫
2232488,美福
2232488,美福
2298764,恒大
2298764,恒大
2320343,苏常
2320343,苏常
2378474,海联
2378474,海联
2001958,江苏
2001958,江苏
2721425,雅芳
2721425,雅芳
2775756,辽通
2775756,辽通
2744107,电广
2744107,电广
2871089,首创
2871089,首创
2150095,启创
2150095,启创
2827889,科新
2827889,科新
2952712,搜于
2952712,搜于
2629482,中海
2629482,中海
2554264,新三
2554264,新三
2067026,贵州
2067026,贵州
2970021,中房
2970021,中房
2409879,1.
2409879,1.
2565911,金风
2565911,金风
2970281,博达
2970281,博达
2259348,万科
2259348,万科
2810431,康跃
2810431,康跃
2454708,经济
2454708,经济
2613415,仙坛
2613415,仙坛
2685977,长城
2685977,长城
2109160,浙江
2109160,浙江
2156788,苏交
2156788,苏交
2035502,澳洋
2035502,澳洋
2964918,毛利
2964918,毛利
2393540,上交
2393540,上交
2188178,波司
2188178,波司
2539185,*S
2539185,*S
2090138,水井
2090138,水井
2555883,华斯
2555883,华斯
2644808,淘淘
2644808,淘淘
2386414,京东
2386414,京东
2897305,*S
2897305,*S
2685426,桐君
2685426,桐君
2793566,工信
2793566,工信
2389513,华为
2389513,华为
2142196,折价
2142196,折价
2083100,全聚
2083100,全聚
2174892,神户
2174892,神户
2627430,闽灿
2627430,闽灿
2549250,中环
2549250,中环
2225672,当升
2225672,当升
2931917,中纺
2931917,中纺
2001123,皖通
2001123,皖通
2461073,金能
2461073,金能
2287522,萃华
2287522,萃华
2610031,惠天
2610031,惠天
2514010,自导
2514010,自导
2053699,方大
2053699,方大
2725094,银维
2725094,银维
2477761,国泰
2477761,国泰
2285204,有棵
2285204,有棵
2436165,新华
2436165,新华
2487242,乾照
2487242,乾照
2952303,28
2952303,28
2366904,峨眉
2366904,峨眉
2352487,尔康
2352487,尔康
2991743,欧比
2991743,欧比
2921758,瑞房
2921758,瑞房
2653433,保利
2653433,保利
2105861,希尔
2105861,希尔
2988747,软众
2988747,软众
2345613,沃尔
2345613,沃尔
2660432,嘉应
2660432,嘉应
2147421,*S
2147421,*S
2273964,高管
2273964,高管
2506413,多家
2506413,多家
2026600,好想
2026600,好想
2190068,拉卡
2190068,拉卡
2863598,晶澳
2863598,晶澳
2855264,解读
2855264,解读
2112658,津劝
2112658,津劝
2978196,13
2978196,13
2321082,中央
2321082,中央
2644417,天海
2644417,天海
2320038,恒天
2320038,恒天
2904635,华银
2904635,华银
2660149,青岛
2660149,青岛
2625946,华平
2625946,华平
2320700,太平
2320700,太平
2795816,湘鄂
2795816,湘鄂
2501384,江山
2501384,江山
2744176,达安
2744176,达安
2659396,粤水
2659396,粤水
2431533,皇台
2431533,皇台
2035054,联洋
2035054,联洋
2805177,双汇
2805177,双汇
2807169,高鸿
2807169,高鸿
2422212,腾邦
2422212,腾邦
2524232,雅百
2524232,雅百
2279527,可口
2279527,可口
2630649,好买
2630649,好买
2817052,洽洽
2817052,洽洽
2428434,预收
2428434,预收
2357647,九龙
2357647,九龙
2723811,*S
2723811,*S
2918607,瑞贝
2918607,瑞贝
2408532,TC
2408532,TC
2190817,益邦
2190817,益邦
2528446,马自
2528446,马自
2636735,金宇
2636735,金宇
2180432,香溢
2180432,香溢
2399080,长江
2399080,长江
2120932,瑞丰
2120932,瑞丰
2516501,铃木
2516501,铃木
2546606,恒生
2546606,恒生
2381728,中航
2381728,中航
2390504,华电
2390504,华电
2873454,创始
2873454,创始
2164712,西藏
2164712,西藏
2741296,华富
2741296,华富
2053040,京东
2053040,京东
2242660,添雅
2242660,添雅
2661524,汤臣
2661524,汤臣
2147146,长江
2147146,长江
2587904,捷成
2587904,捷成
2085296,苹果
2085296,苹果
2052273,蓝盾
2052273,蓝盾
2373265,金贵
2373265,金贵
2649611,湖南
2649611,湖南
2967176,广船
2967176,广船
2245970,暴风
2245970,暴风
2228125,开元
2228125,开元
2619121,航天
2619121,航天
2602850,“高
2602850,“高
2667576,*S
2667576,*S
2848809,广电
2848809,广电
2041267,中弘
2041267,中弘
2281506,*S
2281506,*S
2921073,新天
2921073,新天
2678576,中航
2678576,中航
2998716,报喜
2998716,报喜
2321858,*S
2321858,*S
2236851,神州
2236851,神州
2357497,上海
2357497,上海
2531932,顺荣
2531932,顺荣
2593137,新宙
2593137,新宙
2768385,赤峰
2768385,赤峰
2492409,午间
2492409,午间
2031652,星光
2031652,星光
2529420,松德
2529420,松德
2885891,智飞
2885891,智飞
2241401,华懋
2241401,华懋
2964502,法兴
2964502,法兴
2386050,海润
2386050,海润
2950923,*S
2950923,*S
2193373,联兴
2193373,联兴
2577037,易世
2577037,易世
2279911,小米
2279911,小米
2843909,金刚
2843909,金刚
2677312,外媒
2677312,外媒
2656372,永辉
2656372,永辉
2542313,国药
2542313,国药
2324927,光明
2324927,光明
2382068,瑞茂
2382068,瑞茂
2439059,金莱
2439059,金莱
2776784,兴发
2776784,兴发
2090367,朗科
2090367,朗科
2881208,赛富
2881208,赛富
2140192,东方
2140192,东方
2688153,谁是
2688153,谁是
2744867,掌趣
2744867,掌趣
2244549,中超
2244549,中超
2345607,国泰
2345607,国泰
2204863,三变
2204863,三变
2631985,招股
2631985,招股
2975199,富海
2975199,富海
2096732,亚太
2096732,亚太
2761502,分析
2761502,分析
2579544,天业
2579544,天业
2786878,科林
2786878,科林
2768679,[三
2768679,[三
2477001,红点
2477001,红点
2004935,南都
2004935,南都
2236770,九鼎
2236770,九鼎
2377196,戴维
2377196,戴维
2280247,红星
2280247,红星
2997422,金朋
2997422,金朋
2489861,酒鬼
2489861,酒鬼
2197535,天池
2197535,天池
2034517,苹果
2034517,苹果
2235825,央视
2235825,央视
2168845,天津
2168845,天津
2378497,畅游
2378497,畅游
2870803,金城
2870803,金城
2186690,永清
2186690,永清
2243693,徐小
2243693,徐小
2127428,日产
2127428,日产
2325313,亨通
2325313,亨通
2500417,*S
2500417,*S
2980054,*S
2980054,*S
2705481,广汇
2705481,广汇
2469323,汉尧
2469323,汉尧
2580056,政策
2580056,政策
2796341,烟台
2796341,烟台
2024400,瑞特
2024400,瑞特
2332153,天喻
2332153,天喻
2304181,安洁
2304181,安洁
2227326,苹果
2227326,苹果
2733469,迪芙
2733469,迪芙
2484766,中泰
2484766,中泰
2561014,河南
2561014,河南
2636089,福特
2636089,福特
2621054,四川
2621054,四川
2914704,华泰
2914704,华泰
2158495,铁岭
2158495,铁岭
